Wavenumber,300K,310K,320K,330K,340K,350K,360K,370K,380K,390K,400K,410K,420K,430K,440K,450K,460K,470K,480K,490K,500K,510K,520K,530K,540K,550K,560K,570K,580K,590K,600K,610K,620K,630K,640K,650K,660K,670K,680K,690K,700K
945.377,3147.72,5151.67,5327.75,5750.05,4651.46,4773.01,5368.27,5254.51,4787.03,5725.11,6066.38,5893.41,6155.2,6789.42,6923.43,7672.96,7021.6,5617.59,6568.14,6786.3,6131.82,6692.8,5348.01,5634.73,4735.61,4916.37,4961.56,4822.87,3649.49,2987.22,2892.16,2617.91,2499.48,2585.18,2451.17,2222.1,2357.67,2243.92,2102.12,3498.33,2988.78
943.773,3131.33,5183.05,5348.18,5773.48,4726.59,4778.0,5407.38,5304.56,4812.28,5731.42,6019.63,5851.38,6458.95,6804.8,7080.54,7762.89,7019.78,5687.8,6600.72,6706.65,6237.73,6768.97,5413.62,5627.04,4840.32,4999.22,5064.65,4930.67,3651.66,3016.05,2855.58,2706.03,2406.92,2568.94,2529.99,2297.87,2333.7,2246.46,2054.84,3609.6,3072.13
942.168,3203.72,5303.2,5575.76,5711.26,4739.39,4926.29,5446.49,5405.99,4873.34,5655.19,6150.46,5837.41,6405.89,6966.58,6986.83,7806.06,7106.75,5669.2,6636.4,6856.0,6298.42,6690.91,5474.52,5706.58,4832.84,5069.58,5001.05,4993.26,3670.97,3013.71,3004.37,2692.87,2512.21,2582.29,2558.93,2248.99,2406.3,2273.91,2088.57,3594.65,3132.08
940.562,3272.97,5181.94,5541.63,5815.67,4736.62,4931.25,5502.7,5485.57,4831.6,5807.89,6002.52,5811.0,6352.86,6726.56,6913.41,7688.83,7145.41,5647.51,6673.62,6869.81,6180.03,6648.71,5571.21,5728.48,4823.82,5010.67,4991.98,4917.24,3590.61,3115.71,2972.45,2709.31,2438.38,2664.15,2536.47,2239.07,2338.73,2234.4,2089.59,3579.71,3111.03
938.956,3247.23,5320.72,5563.56,5916.93,4836.59,4984.48,5666.3,5568.23,4788.34,5832.87,6119.3,5993.2,6522.47,6941.22,7051.74,7859.66,7296.14,5727.01,6841.59,6843.15,6436.86,6838.48,5614.93,5789.28,4923.77,5080.99,5161.94,4978.25,3614.6,3002.83,3040.19,2703.95,2411.29,2693.05,2683.71,2306.99,2409.74,2405.07,2163.78,3623.94,3107.13
937.35,3328.88,5415.86,5633.74,5996.35,4939.63,5006.55,5546.58,5457.88,4948.97,5924.76,6214.23,5941.88,6430.55,6906.77,7149.55,7754.95,7275.61,5706.88,6819.62,6917.67,6453.9,6769.82,5521.68,5775.36,4934.97,5188.64,5099.93,5000.33,3686.83,3135.91,2933.59,2781.07,2483.82,2709.48,2591.21,2233.26,2437.14,2346.87,2211.47,3688.38,3272.86
935.743,3337.38,5325.8,5692.99,6057.06,4943.05,5129.76,5608.97,5576.3,4995.95,5966.82,6243.77,6002.61,6464.71,6877.02,7157.08,7815.22,7245.76,5683.65,6764.99,6905.02,6427.37,6898.8,5588.74,5805.01,5005.29,5202.88,5223.11,5059.74,3779.25,3093.1,2951.52,2820.82,2487.86,2624.78,2649.67,2332.27,2428.74,2469.19,2195.36,3717.01,3202.01
934.1360000000001,3409.64,5478.45,5724.22,6043.09,4954.25,5232.68,5770.88,5699.33,4991.58,6066.42,6270.19,5943.54,6606.18,7030.83,7170.82,8003.01,7318.6,5856.43,6831.73,7114.83,6506.63,6971.72,5652.66,5971.54,5058.46,5240.46,5182.9,5103.57,3860.73,3212.09,3185.65,2829.44,2558.79,2736.11,2694.11,2295.91,2513.68,2378.35,2216.58,3854.51,3292.98
932.528,3371.46,5617.03,5907.83,6156.65,4988.77,5206.48,5848.74,5820.75,5033.87,6046.24,6223.52,6072.67,6576.53,7103.71,7206.34,8028.99,7434.94,5809.86,6823.79,7058.61,6467.67,6862.67,5666.79,5926.49,4935.89,5231.36,5161.38,5119.4,3858.21,3257.94,3099.32,2875.38,2614.13,2817.85,2665.45,2379.31,2520.82,2433.73,2231.57,3828.66,3332.58
930.92,3431.25,5615.62,5914.13,6195.53,5223.83,5239.38,5802.19,5738.44,5018.61,6113.13,6385.21,6165.99,6749.01,7159.45,7175.0,8215.1,7386.44,5906.35,6876.49,7218.53,6571.77,7073.94,5797.52,5999.64,5031.05,5290.69,5265.81,5253.37,3910.1,3255.57,3218.26,2911.98,2653.89,2821.8,2793.82,2409.8,2594.82,2489.1,2318.08,3863.46,3392.38
